iter	Passed	Remaining
805	9772	2352
806	9783	2339
807	9792	2327
808	9807	2315
809	9818	2303
810	9828	2290
811	9838	2277
812	9849	2265
813	9861	2253
814	9872	2240
815	9882	2228
816	9893	2215
817	9904	2203
818	9915	2191
819	9926	2178
820	9938	2166
821	9952	2155
822	9964	2143
823	9976	2130
824	9987	2118
825	9998	2106
826	10008	2093
827	10019	2081
828	10030	2069
829	10041	2056
830	10053	2044
831	10064	2032
832	10075	2019
833	10086	2007
834	10096	1995
835	10107	1982
836	10117	1970
837	10128	1958
838	10140	1945
839	10156	1934
840	10167	1922
841	10178	1909
842	10190	1897
843	10203	1886
844	10216	1873
845	10226	1861
846	10238	1849
847	10249	1837
848	10260	1824
849	10271	1812
850	10282	1800
851	10293	1788
852	10304	1775
853	10318	1764
854	10334	1752
855	10346	1740
856	10356	1728
857	10368	1715
858	10379	1703
859	10390	1691
860	10402	1679
861	10412	1666
862	10423	1654
863	10434	1642
864	10447	1630
865	10461	1618
866	10472	1606
867	10483	1594
868	10495	1582
869	10505	1569
870	10517	1557
871	10528	1545
872	10539	1533
873	10549	1520
874	10561	1508
875	10573	1496
876	10584	1484
877	10595	1472
878	10605	1459
879	10617	1447
880	10628	1435
881	10639	1423
882	10657	1412
883	10669	1400
884	10681	1388
885	10693	1375
886	10704	1363
887	10716	1351
888	10727	1339
889	10741	1327
890	10752	1315
891	10764	1303
892	10774	1290
893	10784	1278
894	10797	1266
895	10808	1254
896	10825	1243
897	10836	1230
898	10847	1218
899	10859	1206
900	10871	1194
901	10882	1182
902	10894	1170
903	10905	1158
904	10917	1145
905	10928	1133
906	10943	1122
907	10954	1109
908	10965	1097
909	10980	1085
910	10993	1074
911	11003	1061
912	11017	1049
913	11029	1037
914	11041	1025
915	11053	1013
916	11068	1001
917	11085	990
918	11101	978
919	11115	966
920	11132	954
921	11161	944
922	11181	932
923	11202	921
924	11219	909
925	11235	897
926	11248	885
927	11265	874
928	11287	862
929	11307	851
930	11331	839
931	11349	828
932	11363	815
933	11379	804
934	11392	791
935	11404	779
936	11415	767
937	11426	755
938	11443	743
939	11457	731
940	11470	719
941	11480	706
942	11491	694
943	11503	682
944	11514	670
945	11527	658
946	11540	645
947	11553	633
948	11568	621
949	11581	609
950	11598	597
951	11610	585
952	11624	573
953	11640	561
954	11655	549
955	11672	537
956	11687	525
957	11700	512
958	11712	500
959	11726	488
960	11738	476
961	11749	464
962	11760	451
963	11771	439
964	11782	427
965	11793	415
966	11805	402
967	11817	390
968	11832	378
969	11844	366
970	11855	354
971	11866	341
972	11876	329
973	11887	317
974	11897	305
975	11907	292
976	11918	280
977	11929	268
978	11939	256
979	11949	243
980	11960	231
981	11975	219
982	11987	207
983	11997	195
984	12007	182
985	12018	170
986	12030	158
987	12041	146
988	12057	134
989	12073	121
990	12087	109
991	12105	97
992	12120	85
993	12132	73
994	12145	61
995	12161	48
996	12179	36
997	12206	24
998	12243	12
999	12267	0
